gender,age,education_level,experience_years,screening_score,shortlisted,bias_flag
Male,35,Masters,1,72.47313,0,0
Female,32,Bachelors,15,44.756844,0,1
Male,36,Masters,19,60.156004,0,0
Male,44,Bachelors,6,75.846397,0,0
Male,39,High School,1,43.29754,1,0
Female,28,Bachelors,0,74.320833,0,1
Male,41,Masters,18,78.344927,0,0
Male,37,Bachelors,3,51.614669,0,0
Male,43,Masters,1,93.984986,0,0
Female,25,Masters,13,84.349075,0,1
Male,42,Bachelors,1,68.195083,0,0
Male,36,PhD,14,60.735109,0,0
Male,26,High School,11,86.863036,0,0
Male,28,Bachelors,4,66.562099,0,0
Female,45,High School,19,60.018444,0,1
Male,38,Masters,6,82.172897,0,0
Female,45,Bachelors,9,59.528774,0,1
Female,32,High School,13,58.65349,0,1
Female,35,Bachelors,13,48.927549,0,1
Male,47,Bachelors,4,63.694569,1,0
Female,46,High School,17,54.195245,1,1
Male,29,Masters,13,57.614368,0,0
Female,33,Masters,1,46.913952,1,1
Female,46,Bachelors,11,58.087578,0,1
Female,35,PhD,5,43.379452,1,1
Female,30,Bachelors,3,47.388911,0,1
Female,36,PhD,12,76.451284,0,1
Female,27,Bachelors,3,57.271279,1,1
Female,37,Bachelors,13,56.201816,1,1
Female,43,High School,15,57.400115,0,1
Male,46,Masters,3,66.658476,0,0
Male,41,Bachelors,0,75.748689,0,0
Female,42,High School,12,65.223208,1,1
Female,46,High School,3,54.943877,0,1
Female,27,Bachelors,19,57.269956,0,1
Male,34,Bachelors,17,83.127731,0,0
Female,35,Masters,5,45.149578,0,1
Male,41,Masters,2,69.42418,0,0
Male,27,High School,12,71.352465,0,0
Male,29,Masters,15,62.233171,0,0
Male,39,High School,4,68.848634,1,0
Male,36,Masters,3,60.883235,0,0
Female,28,Masters,7,64.700573,0,1
Female,38,Bachelors,18,47.78097,0,1
Female,47,Masters,13,70.870469,0,1
Female,43,Bachelors,6,59.068777,0,1
Female,49,Bachelors,13,54.783242,1,1
Male,38,Masters,5,59.953029,0,0
Female,40,Bachelors,11,67.595522,1,1
Female,27,Bachelors,15,54.283336,0,1
Male,23,Bachelors,16,58.327514,0,0
Female,38,Masters,12,69.429227,1,1
Male,47,Bachelors,13,60.956942,1,0
Female,30,High School,6,57.500689,0,1
Male,27,Masters,13,78.188038,0,0
Female,37,Masters,14,63.300874,0,1
Female,34,High School,11,75.663246,1,1
Male,44,Bachelors,16,61.650496,0,0
Male,23,High School,8,67.894887,0,0
Male,32,Bachelors,14,68.668219,0,0
Male,48,Bachelors,11,76.21235,1,0
Male,33,Masters,1,82.886231,1,0
Male,22,Bachelors,4,70.736165,1,0
Male,23,Bachelors,12,68.623362,0,0
Male,25,Bachelors,19,55.170081,1,0
Female,31,Masters,7,62.100667,1,1
Female,28,Bachelors,13,55.10669,1,1
Male,46,PhD,14,76.184363,0,0
Female,43,Bachelors,10,52.209845,0,1
Female,43,High School,0,53.799827,1,1
Female,32,Bachelors,2,42.546936,0,1
Female,27,Bachelors,16,42.057797,0,1
Male,35,Bachelors,18,88.60987,1,0
Female,44,High School,13,62.710806,0,1
Male,37,High School,7,74.043355,1,0
Female,24,Masters,12,48.771652,0,1
Female,49,Bachelors,19,68.114321,0,1
Female,42,Masters,2,68.21917,0,1
Male,45,Bachelors,4,61.975728,0,0
Female,33,Bachelors,8,48.433884,0,1
Male,38,Bachelors,5,62.674723,0,0
Female,21,Bachelors,1,61.510842,0,1
Male,36,Bachelors,12,71.67107,0,0
Female,33,Bachelors,4,56.928018,1,1
Male,30,High School,7,82.987301,1,0
Male,32,Bachelors,0,62.850431,1,0
Female,22,Bachelors,19,49.5807,0,1
Male,43,Masters,11,70.00099,1,0
Female,23,Masters,10,41.094018,0,1
Female,30,Masters,6,67.087109,0,1
Female,22,Masters,14,59.859225,0,1
Female,47,Bachelors,10,55.339358,1,1
Female,43,Bachelors,15,56.955345,1,1
Female,33,Masters,2,65.28245,0,1
Female,33,Bachelors,19,66.130682,0,1
Female,38,Bachelors,13,53.899288,0,1
Female,23,High School,2,62.548724,0,1
Female,47,Bachelors,0,67.046305,0,1
Female,27,Bachelors,14,59.824017,0,1
Male,34,Masters,0,67.94535,0,0
Male,40,Bachelors,16,73.811677,0,0
Female,49,Bachelors,1,51.078179,0,1
Female,37,PhD,19,61.535159,0,1
Female,49,High School,5,59.397374,1,1
Female,41,Bachelors,7,56.149362,1,1
Female,32,High School,15,42.402726,0,1
Female,45,Masters,18,50.095928,0,1
Female,36,Masters,0,52.168627,0,1
Female,44,Bachelors,2,68.809872,0,1
Male,32,Masters,2,72.858235,0,0
Female,35,Bachelors,4,69.711135,0,1
Male,45,Masters,11,82.429134,0,0
Female,30,Masters,11,62.036915,0,1
Female,45,Masters,19,62.557389,0,1
Male,27,High School,12,60.27006,0,0
Female,40,PhD,19,77.053531,0,1
Male,25,Masters,8,55.821559,1,0
Female,21,Bachelors,6,62.740037,0,1
Female,37,Masters,3,64.406668,0,1
Male,23,Bachelors,18,78.467376,0,0
Female,33,Masters,18,45.81564,0,1
Male,34,High School,5,65.80097,0,0
Female,44,Masters,12,52.818158,0,1
Male,38,Bachelors,10,50.195658,0,0
Male,24,High School,12,71.303267,1,0
Female,38,Bachelors,12,54.790713,0,1
Female,25,High School,19,72.162054,0,1
Male,45,Bachelors,14,76.151744,0,0
Female,36,Bachelors,12,58.172875,1,1
Female,21,Bachelors,10,52.898962,1,1
Female,41,Bachelors,18,58.523539,0,1
Male,34,Bachelors,7,67.441262,1,0
Male,35,Masters,19,70.695391,1,0
Male,29,High School,7,89.016358,0,0
Male,35,Masters,9,59.352438,1,0
Male,37,Masters,15,68.313581,0,0
Male,45,Bachelors,18,77.063884,0,0
Male,44,Bachelors,10,65.998592,1,0
Male,24,Masters,12,85.805418,1,0
Male,32,High School,8,76.784592,0,0
Female,47,High School,19,54.366828,0,1
Male,46,Bachelors,18,72.040687,1,0
Female,25,Masters,15,52.803118,0,1
Female,49,High School,6,53.338202,0,1
Female,25,Bachelors,18,55.4194,1,1
Male,31,PhD,11,82.637612,1,0
Male,48,Masters,14,77.45445,0,0
Male,26,Bachelors,13,69.774224,0,0
Male,27,High School,10,77.811862,0,0
Female,44,Masters,9,60.946398,1,1
Male,34,Bachelors,10,58.30107,1,0
Male,44,High School,5,68.548624,0,0
Male,31,High School,1,69.268404,0,0
Male,33,Masters,10,77.616903,0,0
Male,22,Bachelors,18,64.335295,0,0
Female,45,Masters,5,50.887966,0,1
Male,27,Masters,13,69.54453,0,0
Female,40,Bachelors,19,55.164405,0,1
Male,24,Bachelors,5,66.764908,0,0
Female,47,Bachelors,16,59.32531,0,1
Male,28,Bachelors,9,66.169558,0,0
Male,40,Bachelors,0,79.631827,1,0
Female,49,Masters,2,74.191851,0,1
Female,42,Bachelors,7,66.25147,1,1
Female,41,Masters,7,40.462684,1,1
Male,39,Bachelors,19,63.580263,0,0
Female,33,Bachelors,14,54.890202,0,1
Male,34,Bachelors,6,51.537267,1,0
Male,30,Bachelors,10,61.241083,1,0
Female,31,Masters,6,57.252411,0,1
Female,22,Bachelors,3,56.792694,1,1
Male,45,Bachelors,11,70.086502,0,0
Male,46,High School,5,56.191716,0,0
Female,29,Bachelors,13,53.117708,0,1
Female,37,Bachelors,11,58.954387,0,1
Female,46,Bachelors,10,58.734352,0,1
Male,23,PhD,18,74.468936,1,0
Male,44,Bachelors,4,73.885744,0,0
Male,26,Masters,13,65.92893,0,0
Male,25,Bachelors,15,71.201189,1,0
Male,25,Bachelors,12,62.000069,1,0
Male,42,High School,19,67.297717,0,0
Female,35,Bachelors,3,46.818022,0,1
Male,43,Bachelors,10,80.654244,1,0
Male,37,Bachelors,16,67.265057,0,0
Male,29,High School,6,80.639434,0,0
Female,23,High School,13,62.152187,0,1
Male,40,Bachelors,10,61.143377,0,0
Male,46,PhD,8,72.511066,0,0
Female,37,Bachelors,12,66.960786,1,1
Male,49,Bachelors,17,69.224192,1,0
Male,47,High School,10,70.740294,1,0
Male,30,Bachelors,14,64.485427,1,0
Male,23,Bachelors,18,70.241032,1,0
Male,38,Bachelors,0,72.378982,0,0
Female,38,Bachelors,3,53.646596,0,1
Female,37,High School,13,51.054526,1,1
Female,44,High School,13,74.232356,0,1
Male,23,Bachelors,2,76.041205,0,0
Male,23,High School,16,64.523419,1,0
Male,26,High School,2,72.196573,1,0
Female,33,Bachelors,15,47.025638,0,1
Male,44,Masters,13,50.22929,1,0
Male,49,Bachelors,19,80.841331,0,0
